Component,Reference,Value,Package,Quantity,Manufacturer,Part Number,Description,Status,Design Notes,Sourcing Notes
STM32WB55,U1,STM32WB55CCU6,UFQFPN-48,1,STMicroelectronics,STM32WB55CCU6,Dual-core wireless MCU (BLE + 802.15.4),Confirmed,Main processor for Sub-GHz NFC and UI control. Dual-core architecture: M4 primary + M0 for BLE stack,LCSC: Standard stock
ESP32-C5 Module,U2,ESP32-C5-WROOM-1,SMD Module,1,Espressif,ESP32-C5-WROOM-1,Wi-Fi 6 (802.11ax) + BLE 5 module with 5GHz support,Confirmed,Handles 5GHz Wi-Fi on right ear antenna. Requires 3.3V at up to 500mA peak,Verify availability - newer chip may have lead time
CC1101,U3,CC1101,QFN-20,1,Texas Instruments,CC1101RTKR,Low-power Sub-GHz transceiver,Confirmed,Feeds left ear antenna (meandered monopole). Recommend adding 10uF bulk cap on power rail,LCSC/Digikey: Good stock
PN532,U4,PN532,HVQFN-40,1,NXP,PN5321A3HN/C1,NFC/RFID controller,Confirmed,Placed in forehead for card reading/writing. Single-source risk - monitor availability,NXP authorized distributor recommended
3.5" TFT Display,DISP1,ILI9488 320x480 SPI + XPT2046 Touch,Custom,1,Generic,ILI9488-3.5-SPI-TFT,3.5 inch SPI TFT touchscreen (resistive),Confirmed,Top of goblin head. Peak current ~200mA. Requires good power decoupling (see C1-C5). Thermal note: mount on FR4 with minimal copper under display,Power dissipation ~600mW typical. Keep SPI traces <50mm
MicroSD Card Slot,J1,MicroSD,SMD,1,Generic,MICROSD-8P-SMD,4-bit SDIO slot,Confirmed,For storage of captures animations firmware. Use high-speed SD (UHS) compatible slot,LCSC: Standard stock
USB-C Connector,J2,USB-C,SMD,1,Generic,USB-C-16P-SMD,USB Type-C receptacle,Confirmed,For charging + data + potential BadUSB. Add 5.1k pull-down resistors on CC pins for USB 2.0 mode,Common part - multiple suppliers
LiPo Battery Connector,J3,JST-PH 2-pin,Through-hole,1,JST,S2B-PH-K-S,Battery connector,Confirmed,For 3.7V LiPo. Ensure keying matches battery connector,Standard JST stock
Buzzer,BZ1,Passive Buzzer 5V,0805 SMD,1,Generic,BUZZER-5V-SMD,Audio feedback element,Confirmed,Mount near bottom of head. 85dB @ 4kHz typical. Drive with GPIO + MOSFET if PWM volume control needed,Multiple suppliers
IR LED,D1,IR LED 940nm,0805,1,Generic,IR-LED-940nm-0805,Infrared transmitter,Confirmed,For universal remote control. Forward voltage ~1.5V @ 100mA. Pair with 10-20 ohm current limiting resistor,Digikey/LCSC stock
IR Receiver,U5,TSOP38238,DIP-3 through-hole,1,Vishay,TSOP38238,IR receiver module,Confirmed,For receiving IR signals. 38kHz modulation detection. Add 100nF decoupling cap close to power pins,Vishay part - good availability
iButton Port (optional),J4,1-Wire iButton,Through-hole probe,1,Generic,IBUTTON-1WIRE,Dallas/Maxim iButton probe,TBD,For legacy access cards. Optional feature - can be omitted in v1 release,Deferred feature
5-Way Joystick / D-Pad,SW1,5-Way Switch,SMD,1,Generic,5WAY-JOYSTICK-SMD,Navigation input controller,Confirmed,Center of board. Implement debounce in firmware (20-50ms). Add weak pull-ups on each line,Standard encoder switch
Side Buttons (Left/Right),SW2-SW3,Tactile Switch,SMD,2,Generic,TACTILE-SW-SMD-6x6,Additional buttons,Confirmed,Debounced in firmware. 12x12x7.3mm form factor typical. Add weak pull-ups (10k) per button,Bulk sourcing recommended
Power Management IC,U6,TPS63020,QFN-14,1,Texas Instruments,TPS63020DSJR,Buck-Boost converter 3.3V 3A,Confirmed,Main power regulator for stable 3.3V under load (screen + WiFi). θJA ~100°C/W - add thermal vias under QFN,TI authorized distributor
Battery Charger,U7,TP4056,SOP-8,1,Generic,TP4056,LiPo charger with protection,Simulated,Upgrade to BQ24075 (QFN) for better features: DPPM voltage regulation higher charge current. Current config: 500mA charge rate,TP4056 cheaper; BQ24075 better performance
LDO Regulator (optional clean rail),U8,TPS73633,SOT-223,1,Texas Instruments,TPS73633,3.3V LDO 500mA for sensitive analog/RF,Simulated,Optional for CC1101/PN532 clean power. Recommend including in final design for RF noise isolation. Quiescent current ~15uA,Texas Instruments stock
32.768kHz Crystal,X1,32.768kHz,SMD 2012,1,Generic,XTAL-32K-2012,RTC oscillator for STM32,Confirmed,For STM32 RTC + sleep modes. 12pF load capacitance typical. Match to STM32 datasheet specs,Standard quartz - good stock
32MHz Crystal,X2,32MHz,SMD 2016,1,Generic,XTAL-32M-2016,Main system clock for ESP32-C5,Confirmed,ESP32-C5 main oscillator. Verify exact frequency requirement with Espressif datasheet,Check ESP32-C5 requirements
